Song Title,Streams,Daily,Date
needy - live,12556024,4744,2026-05-11
be alright - live,12189212,3445,2026-05-11
side to side - live,12176539,3858,2026-05-11
* For Good - Live from the Gershwin Theatre,12173663,11732,2026-05-11
raindrops (an angel cried) - live,12153547,3080,2026-05-11
dangerous woman - live,12143333,6232,2026-05-11
no tears left to cry - live,11767272,4787,2026-05-11
r.e.m - live,11485423,3390,2026-05-11
goodnight n go - live,11238065,5008,2026-05-11
sweetener - live,11207117,3681,2026-05-11
Tattooed Heart - Live from London,10969190,8066,2026-05-11
* A Hand For Mrs. Claus,10892465,394,2026-05-11
* You Can't Stop the Beat,10746105,1284,2026-05-11
* You Don't Own Me (Feat. Ariana Grande),10700032,3006,2026-05-11
* Met Him Last Night - Dave Audé Remix,10597162,1642,2026-05-11
supernatural - live version,10496966,7220,2026-05-11
love me harder - live,10451813,3200,2026-05-11
Nobody (with Chaka Khan),10192340,1689,2026-05-11
nasa - live,10124803,2638,2026-05-11
break free - live,10075249,3912,2026-05-11
into you - live,9969149,4399,2026-05-11
successful - live,9832684,2918,2026-05-11
Problem - Dawin Remix,9832613,1276,2026-05-11
true story - a cappella,9826706,2436,2026-05-11
fake smile - live,9624361,2909,2026-05-11
I’m Not That Girl (Reprise),9344472,8599,2026-05-11
right there - live,9035004,2701,2026-05-11
only 1 - live,9024068,3061,2026-05-11
Almost Is Never Enough - Soundtrack Version,8969968,860,2026-05-11
break your heart right back - live,8731235,2499,2026-05-11
you'll never know - live,8694304,2499,2026-05-11
make up - live,8631656,2703,2026-05-11
"thank u, next - live",8585980,2751,2026-05-11
Daydreamin' - Live from London,8523952,4285,2026-05-11
intro (end of the world) - live version,8419489,4666,2026-05-11
we can’t be friends (wait for your love) - live version,8131853,5613,2026-05-11
Baby I - Live from London,7893170,4530,2026-05-11
"yes, and? - extended mix",7619538,3736,2026-05-11
my heart belongs to daddy - live,7543032,2098,2026-05-11
eternal sunshine - live version,7538021,5612,2026-05-11
the light is coming - live,7405712,2286,2026-05-11
get well soon - live,7387564,2456,2026-05-11
in my head interlude - live,7236518,2292,2026-05-11
* The Wizard And I - Live,7186393,1765,2026-05-11
don’t wanna break up again - live version,6678603,4447,2026-05-11
* Bang Bang - Dada Life Remix,6448477,175,2026-05-11
Right There - Live from London (feat. Big Sean),6299274,3139,2026-05-11
* Rain On Me (with Ariana Grande) - Arca Remix,5954357,947,2026-05-11
Popular - Edit,5834611,2549,2026-05-11
Come So Far (Got So Far to Go),5644012,508,2026-05-11
Too Close,5225155,6146,2026-05-11
imperfect for you - live version,5223881,4328,2026-05-11
* Without Love,5140742,718,2026-05-11
One Last Time,4927750,3284,2026-05-11
* Over And Over Again - Elephante Uptempo Radio Version,4923037,275,2026-05-11
Cadillac Song,4908617,4646,2026-05-11
Brand New You (feat. Brynn Williams & Caitlin Gann),4672735,549,2026-05-11
"yes, and? - live version",4583424,3445,2026-05-11
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,4396521,5592,2026-05-11
* I Don't Know Why (I Just Do),4089882,4087,2026-05-11
* Arturo Sandoval,4056837,1494,2026-05-11
Side To Side - Phantoms Remix,3921149,373,2026-05-11
"* Still Hurting - From ""The Last Five Years""",3758071,2497,2026-05-11
* Rain On Me - Purple Disco Machine Remix,3734304,797,2026-05-11
