#,Artist,Listeners,Daily +/-,Peak,PkListeners
2394,Paul Anka,5991832,-4695,2005,6189911
2395,Silvestre Dangond,5988398,-14968,1922,7235000
2396,O Rappa,5986380,19332,2249,6217312
2397,Vitinho Imperador,5984482,-9418,985,11805976
2398,Los Socios Del Ritmo,5975199,-18839,1585,7213939
2399,Monchy & Alexandra,5966110,-15645,2382,6051154
2400,CHIC,5965721,-40145,2289,6270216
2401,Parson James,5965146,-39301,1540,7111448
2402,$HUPE,5964405,-16492,1755,7422984
2403,Heroes Del Silencio,5961316,-22568,2133,6322331
2404,Deepthi Suresh,5960952,3475,1204,9586304
2405,IVE,5959219,-6917,608,11793543
2406,Ed Maverick,5956588,-11755,1492,7184723
2407,Nitty Gritty Dirt Band,5955877,-19126,2117,5987412
2408,ElGrandeToto,5955652,-3639,2408,5959291
2409,Natasja,5955227,2406,2374,6037539
2410,Chilx,5954316,-16502,2294,6267816
2411,Ansh Chahal,5954115,41042,2411,5954115
2412,Rubikdice,5953640,-16123,2292,6268199
2413,Rahul Nambiar,5952711,15817,2413,5952711
2414,Hector & Tito,5951838,9400,2143,6220240
2415,J Abdiel,5951099,-6935,1003,9883625
2416,Aditi Singh Sharma,5950819,-13386,1991,6624289
2417,Hamza,5947799,-9416,1647,7379963
2418,Motive,5947668,25531,2294,6127491
2419,Sona Mohapatra,5946120,-9797,2075,6189900
2420,Roses Gabor,5940691,-32330,1640,7771461
2421,Portishead,5939640,-12940,1968,6748840
2422,Olly Murs,5938121,-18774,1298,7884015
2423,DJ EXE,5931733,13914,2423,5931733
2424,Ami Mishra,5930810,4940,1509,8006795
2425,DJ JB Mix,5930366,-8701,1346,8224526
2426,Janine Berdin,5930360,-6163,2426,5936523
2427,Regard,5929244,-18158,594,12725630
2428,Alex Gaudino,5923371,-56105,1832,6286419
2429,Carlos Rivera,5922709,-25581,847,9143637
2430,Shiva Choudhary,5922105,1377,1948,6791057
2431,Angèle,5922069,-37755,1404,6894971
2432,Metric,5921434,2559,2345,6110265
2433,AKASA,5917778,-19009,2317,5972373
2434,Elyanna,5914478,-16283,806,11905453
2435,DG e Batidão Stronda,5913569,-24300,772,12012367
2436,Abhay Jodhpurkar,5910485,-4514,2033,6627566
2437,El Cuarteto De Nos,5906566,-10567,2241,6390561
2438,Lou Bega,5906368,-10427,1538,7868537
2439,Sean Roldan,5904119,-6530,2299,6151462
2440,Sickick,5903828,-12853,1462,7117537
2441,LAGOS,5902985,-17262,1513,7305087
2442,Kanika Kapoor,5900058,-12401,1953,6334724
2443,Ke Personajes,5895815,-17041,595,13811908
2444,Ivy Queen,5895168,-1423,1120,8638673
2445,Sherine,5891561,-983,2271,5926933
2446,&ME,5888459,-24386,1543,7710487
2447,Keala Settle,5887707,-5583,1701,6648699
2448,Godsmack,5886394,-5309,1794,5998948
2449,L2B,5885096,-14841,2150,6422547
2450,Maite Perroni,5884120,-9059,1175,6883353
2451,Dímelo Flow,5884091,-18173,632,13279047
2452,nicole,5879946,22709,2452,5879946
2453,Berlin,5879760,-3475,1399,7621746
2454,Luis Alfonso Partida El Yaki,5878575,-12854,2048,6528103
2455,Hamsika Iyer,5872618,160,1493,8560400
2456,Janieck,5869303,-25625,1453,7518019
2457,Binomio de Oro de América,5868273,-5060,2320,6132185
2458,Old Dominion,5866199,-14850,944,10162728
2459,Yb Wasg'ood,5863353,-23153,482,17403334
2460,Amanda Seyfried,5861294,612,1994,6242267
2461,rusowsky,5860695,-8657,2267,5874522
2462,Roberto Carlos,5860079,-76506,1593,6394957
2463,La Joaqui,5859510,-9543,610,10853959
2464,Angel Almaguer,5858506,-12221,1904,6992041
2465,DJ Paleface,5857632,56713,2465,5857632
2466,Dalmata,5856892,-22808,2364,6128403
2467,Naza,5855602,-27525,1854,5969901
2468,Damiano David,5854508,-23541,737,13109014
2469,Joe Cocker,5850624,-13592,1364,7568469
2470,Daler Mehndi,5847801,3635,2017,6643257
2471,Frou Frou,5847568,-50237,2243,6052121
2472,Yseult,5845254,5732,288,22756249
2473,Israel Kamakawiwo'ole,5842520,-17783,2165,6410674
2474,Unni Menon,5839249,1150,2171,5839249
2475,thiarajxtt,5837298,-20477,1533,7814893
2476,Ryan Tedder,5836465,10373,1987,6929023
2477,Ángela Aguilar,5835245,-56804,619,13090032
2478,MC L da Vinte,5834807,9567,1793,5862411
2479,La Original Banda El Limón de Salvador Lizárraga,5832163,-11859,2456,5923467
2480,Royal Philharmonic Orchestra,5831590,-9082,1151,10240041
2481,Neto Peña,5829681,-14637,1524,6734799
2482,Shaun Ryder,5829432,-31144,1209,9343511
2483,Vaundy,5829320,9711,1729,6502038
2484,Oliver Heldens,5829013,-13200,710,11081326
2485,Hivi!,5826874,46318,1374,8002103
2486,"Hank Williams, Jr.",5824677,-18104,1295,8266166
2487,Erykah Badu,5821110,61036,1778,7305194
2488,MC PR,5817199,-20731,1641,7994339
2489,Jay Trak,5813482,-17381,1440,8121377
2490,Sleepy Hallow,5812779,-5354,306,21195236
2491,Parcels,5811092,-10043,1640,7448084
2492,Francis Mercier,5811019,-9488,2173,5933822
2493,Keisya Levronka,5807193,10493,1507,6259545
2494,Tenxi,5793158,27043,919,11892363
2495,Fred & Fabrício,5792535,-9984,2226,6236937
2496,EKKSTACY,5789401,-6599,1173,9813096
2497,Fidel Rueda,5788934,-43133,2212,6430828
2498,Bruno Martini,5785123,-26358,1643,7398813
2499,Tony Kakkar,5782363,4218,2009,6716417
2500,BoyWithUke,5782272,-67000,743,9580542
