#,Artist,Listeners,Daily +/-,Peak,PkListeners
2006,Pa. Vijay,6956358,7052,1961,7123855
2007,Luis Enrique,6951814,19836,1141,9043727
2008,Chance Peña,6951058,-26130,564,14147981
2009,Mc Paiva ZS,6947020,-5781,786,11925060
2010,Jessie Reyez,6946440,-16619,241,21763207
2011,Internet Money,6944162,-16835,587,11545527
2012,Adrian Khalif,6943858,34886,893,11986251
2013,Social House,6942780,-21937,1176,7342566
2014,SAINt JHN,6938711,-13141,614,10813983
2015,The Kooks,6933923,-8205,1222,8151586
2016,Baby Bash,6933306,-4065,1936,6995109
2017,La Sonora Dinamita,6919958,-38929,1457,8703325
2018,MC Cebezinho,6914116,-5642,869,10985004
2019,Mc Iguinho Ct,6913812,78850,2019,6913812
2020,Nancy Sinatra,6912337,-21620,1565,7959152
2021,Kybba,6909255,-100446,1464,8299305
2022,Xand Avião,6905440,-12422,799,12061151
2023,Anggis Devaki,6904525,-9360,1465,8461062
2024,D. Imman,6901682,-14672,2022,6924354
2025,Leon James,6894725,-27332,1695,7481697
2026,ARIA VEGA,6893034,-32271,1765,7729676
2027,Simge,6892880,-12201,1677,7246448
2028,Chirantan Bhatt,6892447,21873,2028,6892447
2029,MoBlack,6888085,-26937,1647,7459068
2030,Dent May,6888045,-21942,1282,8455438
2031,Celia Cruz,6887988,-20706,1348,7308108
2032,Bad Omens,6885022,-22166,1784,7206110
2033,Kato,6875129,-15849,1320,9218733
2034,Pradeep Kumar,6872024,-8011,1641,7227378
2035,Alex Gargolas,6870326,-5619,1701,8081189
2036,Henry Freitas,6867714,-25337,876,11007403
2037,Savage Garden,6865644,-19722,1409,8431040
2038,The Beaches,6865183,27071,1992,7005362
2039,Jade LeMac,6865107,76030,1679,7610265
2040,Lil Mosey,6865087,14097,939,8289306
2041,Chitãozinho & Xororó,6859356,-14648,1611,6926489
2042,Marino,6859346,36204,1188,9462293
2043,Conrad Sewell,6857771,-21745,1709,6923388
2044,Los Money Makers,6855790,19856,2044,6855790
2045,Los Angeles De Charly,6853871,-7394,2041,6861265
2046,Uncle Kracker,6852516,-11861,1758,6933563
2047,La Roux,6852123,-8970,1364,7924091
2048,Standly,6848887,-9185,438,13833044
2049,Gordinho Bolado,6844938,-15065,2036,6881806
2050,Muni Long,6841837,-151,526,14925072
2051,Baby Gang,6841373,-8248,1179,8309083
2052,Malou,6840185,-32340,1261,9154467
2053,Carpenters,6833797,-986,428,17864695
2054,Sam Cooke,6830838,-10463,896,10225079
2055,Adrianne Lenker,6827204,-3262,1430,8273046
2056,Jakes Bejoy,6826318,-7856,1298,8784173
2057,LUCKI,6821009,6436,1461,7688294
2058,Israel & Rodolffo,6819397,-25947,656,11805143
2059,Andra & The Backbone,6815985,59093,1511,7900850
2060,10cc,6812911,-4647,2006,6945405
2061,NEIKED,6811639,-8776,1184,6838785
2062,Skank,6809535,7425,2062,6809535
2063,Westlife,6807241,-615,1466,7109600
2064,Zé Felipe,6805095,-35565,544,15297326
2065,QMIIR,6802410,-23516,1655,7704066
2066,Mano,6797305,4497,1686,7607919
2067,Tiara Andini,6794106,-26201,866,10840945
2068,Lola Indigo,6786907,-19267,555,12485738
2069,Werenoi,6786048,-443,1474,7995218
2070,Silent Addy,6776446,-24242,295,23310426
2071,Khruangbin,6776174,-15103,1254,8062646
2072,Ebru Gündeş,6772355,-3145,1828,6999533
2073,sped up nightcore,6771113,-85301,300,17931530
2074,Hikaru Utada,6768744,-9425,1224,9876648
2075,Cleber & Cauan,6766946,-22772,2050,6843983
2076,December Avenue,6764465,-8695,1219,9428208
2077,Motionless In White,6763961,-4108,2068,6777258
2078,Dierks Bentley,6759745,-16013,1130,7410384
2079,Rod Wave,6757355,5996,826,10144129
2080,Kalpana Patowary,6752756,19441,1202,9768609
2081,Swarnalatha,6751399,-1986,1685,7593358
2082,Hillsong UNITED,6749853,6943,1641,7686106
2083,shonci,6749745,22534,2083,6749745
2084,Shimza,6748073,-8402,2068,6778566
2085,Brandon Lake,6746613,7502,1680,7794034
2086,Robert Miles,6744308,18989,996,8703859
2087,Mr. Belt & Wezol,6738868,-37083,1010,9705318
2088,Grupo Cañaveral De Humberto Pabón,6737430,-28241,1828,7271131
2089,Gilberto Santa Rosa,6732720,-19482,1287,8943618
2090,Feist,6725154,11839,2090,6725154
2091,ANAVITÓRIA,6723023,-3682,1763,7116124
2092,Dadju,6722807,-5340,1375,8032601
2093,Al Green,6719890,-20228,1353,8634639
2094,Tayc,6719489,6052,948,10101485
2095,Kevin AMF,6718661,-42503,1091,9415420
2096,Mahmood,6716567,-19846,1287,7734518
2097,Hillsong Worship,6714709,4929,1466,8210224
2098,Sanjay Leela Bhansali,6711897,-3209,1234,7755226
2099,Pancho Barraza,6704012,-37559,1939,6912942
2100,Julliany Souza,6698844,-11578,1979,7023439
2101,Stefflon Don,6693916,-18491,1110,9116108
2102,Hadise,6681905,49332,2102,6681905
2103,Péricles,6681001,3289,1277,8327598
2104,Shabbir Ahmed,6674899,-8729,1713,7496292
2105,Jacquees,6673358,8923,1629,6993923
2106,Richard Marx,6665078,-18317,1921,6815679
2107,Millonario,6663125,-21689,1842,7456428
2108,FKJ,6663051,-11749,1072,9168066
2109,Whethan,6662167,-47552,723,12122814
2110,Two Feet,6659328,-21777,856,9668762
2111,Naykilla,6658235,137854,1117,9854400
2112,88rising,6657819,14812,1034,9521520
2113,Bir,6657250,-12550,1586,8189415
2114,Alan Braxe,6655442,-2850,1827,7611054
2115,Bethel Music,6647575,9829,1691,7469605
2116,Josh Turner,6646195,-20639,1778,6682380
2117,BENNETT,6645167,7287,603,13437506
2118,Naarly,6635938,14309,2118,6635938
2119,Alejandra Guzman,6633302,-6578,1660,7005137
2120,Omar Varela,6632374,-13709,1108,9139545
2121,King Gnu,6632045,3138,1504,6959629
2122,Good Neighbours,6622498,-998,497,15516763
2123,Rizky Febian,6621669,2342,845,12548956
2124,Yalın,6615671,15483,2124,6615671
2125,Hippie Sabotage,6614511,-8683,1217,7555529
2126,Shadab Faridi,6611671,-6531,584,12567527
2127,Chuck Berry,6611383,-49934,156,33532885
2128,Ado,6611264,-9266,1237,8717575
2129,Monali Thakur,6610696,-3566,948,10320185
